subj	subexpt	semint	related	n2num	errnd	errd	errcornd	errcord
1	Cat	unint	rel	plur	0	0	3	3
1	Cat	unint	rel	sing	0	0	3	3
1	Cat	unint	unrel	plur	0	0	3	3
1	Cat	unint	unrel	sing	0	0	5	5
2	Cat	unint	rel	plur	1	1	4	4
2	Cat	unint	rel	sing	0	0	2	3
2	Cat	unint	unrel	plur	0	0	4	4
2	Cat	unint	unrel	sing	0	0	4	4
3	Cat	unint	rel	plur	0	0	4	4
3	Cat	unint	rel	sing	0	0	4	4
3	Cat	unint	unrel	plur	0	0	4	4
3	Cat	unint	unrel	sing	0	0	2	2
4	Cat	unint	rel	plur	0	0	5	5
4	Cat	unint	rel	sing	0	0	4	4
4	Cat	unint	unrel	plur	0	0	2	2
4	Cat	unint	unrel	sing	0	0	4	4
5	Cat	unint	rel	plur	0	0	3	3
5	Cat	unint	rel	sing	0	0	4	4
5	Cat	unint	unrel	plur	0	0	5	5
5	Cat	unint	unrel	sing	0	0	5	5
6	Cat	unint	rel	plur	0	0	2	2
6	Cat	unint	rel	sing	0	0	6	6
6	Cat	unint	unrel	plur	0	0	3	3
6	Cat	unint	unrel	sing	0	0	5	5
7	Cat	unint	rel	plur	0	0	6	6
7	Cat	unint	rel	sing	0	0	3	3
7	Cat	unint	unrel	plur	1	1	2	3
7	Cat	unint	unrel	sing	1	2	5	6
8	Cat	unint	rel	plur	0	0	4	4
8	Cat	unint	rel	sing	0	0	3	3
8	Cat	unint	unrel	plur	0	0	4	4
8	Cat	unint	unrel	sing	0	0	5	5
9	Cat	unint	rel	plur	0	0	5	5
9	Cat	unint	rel	sing	0	0	6	6
9	Cat	unint	unrel	plur	0	0	5	5
9	Cat	unint	unrel	sing	0	0	4	4
10	Cat	unint	rel	plur	0	0	4	4
10	Cat	unint	rel	sing	0	0	4	4
10	Cat	unint	unrel	plur	0	0	4	4
10	Cat	unint	unrel	sing	0	0	4	4
11	Cat	unint	rel	plur	0	1	3	5
11	Cat	unint	rel	sing	0	0	0	1
11	Cat	unint	unrel	plur	0	0	2	2
11	Cat	unint	unrel	sing	0	0	3	4
12	Cat	unint	rel	plur	0	0	3	3
12	Cat	unint	rel	sing	0	0	5	5
12	Cat	unint	unrel	plur	0	0	4	4
12	Cat	unint	unrel	sing	0	0	5	6
13	Cat	unint	rel	plur	1	1	4	4
13	Cat	unint	rel	sing	0	0	5	5
13	Cat	unint	unrel	plur	2	2	5	5
13	Cat	unint	unrel	sing	0	0	4	4
14	Cat	unint	rel	plur	0	0	3	3
14	Cat	unint	rel	sing	0	0	4	4
14	Cat	unint	unrel	plur	0	0	4	4
14	Cat	unint	unrel	sing	0	0	3	4
15	Cat	unint	rel	plur	0	0	2	2
15	Cat	unint	rel	sing	0	0	2	2
15	Cat	unint	unrel	plur	1	1	3	3
15	Cat	unint	unrel	sing	0	0	3	3
16	Cat	unint	rel	plur	0	0	3	4
16	Cat	unint	rel	sing	0	0	4	4
16	Cat	unint	unrel	plur	0	0	3	3
16	Cat	unint	unrel	sing	0	0	5	5
17	Cat	unint	rel	plur	0	0	3	3
17	Cat	unint	rel	sing	0	0	2	5
17	Cat	unint	unrel	plur	0	0	5	5
17	Cat	unint	unrel	sing	0	0	3	4
18	Cat	unint	rel	plur	0	0	6	6
18	Cat	unint	rel	sing	0	0	4	5
18	Cat	unint	unrel	plur	0	0	3	4
18	Cat	unint	unrel	sing	0	0	5	5
19	Cat	unint	rel	plur	1	1	6	6
19	Cat	unint	rel	sing	0	0	4	4
19	Cat	unint	unrel	plur	1	1	5	5
19	Cat	unint	unrel	sing	0	0	5	5
20	Cat	unint	rel	plur	0	0	0	5
20	Cat	unint	rel	sing	0	0	2	4
20	Cat	unint	unrel	plur	0	0	0	1
20	Cat	unint	unrel	sing	0	0	2	3
21	Cat	unint	rel	plur	0	0	5	5
21	Cat	unint	rel	sing	0	0	5	5
21	Cat	unint	unrel	plur	1	1	4	4
21	Cat	unint	unrel	sing	0	0	3	3
22	Cat	unint	rel	plur	0	0	3	5
22	Cat	unint	rel	sing	0	0	3	5
22	Cat	unint	unrel	plur	0	0	3	3
22	Cat	unint	unrel	sing	0	0	3	5
23	Cat	unint	rel	plur	0	0	1	2
23	Cat	unint	rel	sing	0	0	1	2
23	Cat	unint	unrel	plur	0	0	2	3
23	Cat	unint	unrel	sing	0	0	2	3
24	Cat	unint	rel	plur	0	0	5	5
24	Cat	unint	rel	sing	0	0	4	4
24	Cat	unint	unrel	plur	0	0	2	2
24	Cat	unint	unrel	sing	0	0	0	0
25	Cat	unint	rel	plur	2	2	4	4
25	Cat	unint	rel	sing	0	0	3	3
25	Cat	unint	unrel	plur	1	1	3	3
25	Cat	unint	unrel	sing	0	0	3	3
26	Cat	unint	rel	plur	0	0	1	2
26	Cat	unint	rel	sing	0	0	1	2
26	Cat	unint	unrel	plur	0	0	0	1
26	Cat	unint	unrel	sing	0	1	3	4
27	Cat	unint	rel	plur	0	0	2	2
27	Cat	unint	rel	sing	0	0	3	3
27	Cat	unint	unrel	plur	1	1	3	3
27	Cat	unint	unrel	sing	0	0	4	4
28	Cat	unint	rel	plur	0	0	1	2
28	Cat	unint	rel	sing	0	0	2	2
28	Cat	unint	unrel	plur	0	0	0	0
28	Cat	unint	unrel	sing	0	0	3	3
29	Cat	unint	rel	plur	0	0	2	2
29	Cat	unint	rel	sing	0	0	3	3
29	Cat	unint	unrel	plur	1	1	4	4
29	Cat	unint	unrel	sing	0	0	4	4
30	Cat	unint	rel	plur	0	0	2	2
30	Cat	unint	rel	sing	0	0	5	5
30	Cat	unint	unrel	plur	0	0	3	3
30	Cat	unint	unrel	sing	0	0	5	5
32	Cat	unint	rel	plur	0	0	5	5
32	Cat	unint	rel	sing	0	0	2	3
32	Cat	unint	unrel	plur	0	0	2	3
32	Cat	unint	unrel	sing	0	0	3	3
33	Cat	unint	rel	plur	0	0	1	1
33	Cat	unint	rel	sing	0	0	4	4
33	Cat	unint	unrel	plur	0	0	5	5
33	Cat	unint	unrel	sing	0	0	4	4
34	Cat	unint	rel	plur	0	0	3	3
34	Cat	unint	rel	sing	0	0	4	4
34	Cat	unint	unrel	plur	0	0	2	3
34	Cat	unint	unrel	sing	0	0	6	6
35	Cat	unint	rel	plur	0	0	2	2
35	Cat	unint	rel	sing	0	0	1	1
35	Cat	unint	unrel	plur	0	0	4	4
35	Cat	unint	unrel	sing	0	0	1	2
36	Cat	unint	rel	plur	0	0	0	0
36	Cat	unint	rel	sing	0	0	3	3
36	Cat	unint	unrel	plur	0	0	3	3
36	Cat	unint	unrel	sing	0	0	1	1
37	Cat	unint	rel	plur	0	0	5	5
37	Cat	unint	rel	sing	0	0	4	4
37	Cat	unint	unrel	plur	1	1	4	4
37	Cat	unint	unrel	sing	0	0	3	4
38	Cat	unint	rel	plur	0	0	1	1
38	Cat	unint	rel	sing	0	0	2	3
38	Cat	unint	unrel	plur	0	0	3	3
38	Cat	unint	unrel	sing	0	0	3	4
39	Cat	unint	rel	plur	0	0	4	4
39	Cat	unint	rel	sing	0	0	4	4
39	Cat	unint	unrel	plur	0	0	3	3
39	Cat	unint	unrel	sing	0	0	5	5
40	Cat	unint	rel	plur	0	0	6	6
40	Cat	unint	rel	sing	0	0	2	2
40	Cat	unint	unrel	plur	0	0	3	3
40	Cat	unint	unrel	sing	0	0	4	4
41	Cat	unint	rel	plur	0	0	3	4
41	Cat	unint	rel	sing	0	0	3	3
41	Cat	unint	unrel	plur	0	0	4	4
41	Cat	unint	unrel	sing	0	0	2	2
42	Cat	unint	rel	plur	0	0	3	3
42	Cat	unint	rel	sing	0	0	5	5
42	Cat	unint	unrel	plur	0	0	2	2
42	Cat	unint	unrel	sing	0	0	5	5
43	Cat	unint	rel	plur	1	1	5	5
43	Cat	unint	rel	sing	0	0	4	4
43	Cat	unint	unrel	plur	0	0	4	4
43	Cat	unint	unrel	sing	0	0	5	5
44	Cat	unint	rel	plur	0	0	3	3
44	Cat	unint	rel	sing	0	0	4	4
44	Cat	unint	unrel	plur	0	0	2	2
44	Cat	unint	unrel	sing	0	0	4	4
46	Cat	unint	rel	plur	1	1	2	2
46	Cat	unint	rel	sing	0	0	5	5
46	Cat	unint	unrel	plur	0	0	6	6
46	Cat	unint	unrel	sing	0	0	4	4
47	Cat	unint	rel	plur	0	0	3	3
47	Cat	unint	rel	sing	0	0	2	2
47	Cat	unint	unrel	plur	0	0	3	3
47	Cat	unint	unrel	sing	0	0	0	0
48	Cat	unint	rel	plur	0	0	4	4
48	Cat	unint	rel	sing	0	0	3	3
48	Cat	unint	unrel	plur	0	0	3	3
48	Cat	unint	unrel	sing	0	0	3	3
49	Cat	unint	rel	plur	0	0	1	1
49	Cat	unint	rel	sing	0	0	3	3
49	Cat	unint	unrel	plur	0	0	1	1
49	Cat	unint	unrel	sing	0	0	2	2
50	Cat	unint	rel	plur	0	0	2	2
50	Cat	unint	rel	sing	0	0	2	2
50	Cat	unint	unrel	plur	0	0	2	2
50	Cat	unint	unrel	sing	0	0	4	4
51	Cat	unint	rel	plur	0	0	2	2
51	Cat	unint	rel	sing	0	0	3	3
51	Cat	unint	unrel	plur	0	0	4	4
51	Cat	unint	unrel	sing	0	0	5	5
52	Cat	unint	rel	plur	0	0	4	5
52	Cat	unint	rel	sing	0	0	5	5
52	Cat	unint	unrel	plur	1	1	5	5
52	Cat	unint	unrel	sing	0	0	4	4
53	Cat	unint	rel	plur	0	0	5	6
53	Cat	unint	rel	sing	0	0	4	4
53	Cat	unint	unrel	plur	0	0	4	4
53	Cat	unint	unrel	sing	0	0	4	4
54	Cat	unint	rel	plur	0	0	1	1
54	Cat	unint	rel	sing	0	0	4	4
54	Cat	unint	unrel	plur	0	0	4	4
54	Cat	unint	unrel	sing	0	0	4	4
55	Cat	unint	rel	plur	0	0	5	5
55	Cat	unint	rel	sing	0	0	4	4
55	Cat	unint	unrel	plur	0	0	5	5
55	Cat	unint	unrel	sing	0	0	5	5
56	Cat	unint	rel	plur	0	0	4	5
56	Cat	unint	rel	sing	0	0	3	3
56	Cat	unint	unrel	plur	0	0	3	3
56	Cat	unint	unrel	sing	0	0	6	6
57	Cat	unint	rel	plur	1	2	3	4
57	Cat	unint	rel	sing	0	0	5	5
57	Cat	unint	unrel	plur	0	0	5	5
57	Cat	unint	unrel	sing	0	0	4	4
58	Cat	unint	rel	plur	0	0	2	2
58	Cat	unint	rel	sing	0	0	5	5
58	Cat	unint	unrel	plur	0	0	3	4
58	Cat	unint	unrel	sing	0	0	4	4
59	Cat	unint	rel	plur	0	0	4	4
59	Cat	unint	rel	sing	0	0	2	2
59	Cat	unint	unrel	plur	0	0	2	2
